x,y
1.388782653808593750e+02,1.229766311645507812e+02
1.397784576416015625e+02,1.259937362670898438e+02
1.403984375000000000e+02,1.290806884765625000e+02
1.408249816894531250e+02,1.321998138427734375e+02
1.410350189208984375e+02,1.353412475585937500e+02
1.410656433105468750e+02,1.384895629882812500e+02
1.409117736816406250e+02,1.416337280273437500e+02
1.405130615234375000e+02,1.447554168701171875e+02
1.398233337402343750e+02,1.478266754150390625e+02
1.388927459716796875e+02,1.508338317871093750e+02
1.377392425537109375e+02,1.537626953125000000e+02
1.363742065429687500e+02,1.565985870361328125e+02
1.348044433593750000e+02,1.593267364501953125e+02
1.330717468261718750e+02,1.619549865722656250e+02
1.311738281250000000e+02,1.644650878906250000e+02
1.290708312988281250e+02,1.668043365478515625e+02
1.267575759887695312e+02,1.689356689453125000e+02
1.242663574218750000e+02,1.708573150634765625e+02
1.216397094726562500e+02,1.725910644531250000e+02
1.189057769775390625e+02,1.741514892578125000e+02
1.160600280761718750e+02,1.755001525878906250e+02
1.131183395385742188e+02,1.766219940185546875e+02
1.101075134277343750e+02,1.775394744873046875e+02
1.070354461669921875e+02,1.782228393554687500e+02
1.039250946044921875e+02,1.787099456787109375e+02
1.007881011962890625e+02,1.789695129394531250e+02
9.764003753662109375e+01,1.789948120117187500e+02
9.449937438964843750e+01,1.787740020751953125e+02
9.139264678955078125e+01,1.782622528076171875e+02
8.832908630371093750e+01,1.775394592285156250e+02
8.533123779296875000e+01,1.765812835693359375e+02
8.241396331787109375e+01,1.753998413085937500e+02
7.958482360839843750e+01,1.740202636718750000e+02
7.685924530029296875e+01,1.724460754394531250e+02
7.425924682617187500e+01,1.706713104248046875e+02
7.180345916748046875e+01,1.687004852294921875e+02
6.950362396240234375e+01,1.665492248535156250e+02
6.734731292724609375e+01,1.642544860839843750e+02
6.535394287109375000e+01,1.618174896240234375e+02
6.354308700561523438e+01,1.592422027587890625e+02
6.193733596801757812e+01,1.565341491699218750e+02
6.057136917114257812e+01,1.536978302001953125e+02
5.944409942626953125e+01,1.507592315673828125e+02
5.855321121215820312e+01,1.477396240234375000e+02
5.783019638061523438e+01,1.446755218505859375e+02
5.729764556884765625e+01,1.415729522705078125e+02
5.703179168701171875e+01,1.384352111816406250e+02
5.704194259643554688e+01,1.352860717773437500e+02
5.731616210937500000e+01,1.321497802734375000e+02
5.786335372924804688e+01,1.290505371093750000e+02
5.862141036987304688e+01,1.259954910278320312e+02
5.955226898193359375e+01,1.229881668090820312e+02
6.069343948364257812e+01,1.200548858642578125e+02
6.206069946289062500e+01,1.172191314697265625e+02
6.358655548095703125e+01,1.144647521972656250e+02
6.521804046630859375e+01,1.117717208862304688e+02
6.692160797119140625e+01,1.091232452392578125e+02
6.865532684326171875e+01,1.064943161010742188e+02
7.040332031250000000e+01,1.038748397827148438e+02
7.215744781494140625e+01,1.012594528198242188e+02
7.391085052490234375e+01,9.864360046386718750e+01
7.565524291992187500e+01,9.602171325683593750e+01
7.738298034667968750e+01,9.338883209228515625e+01
7.907951354980468750e+01,9.073580169677734375e+01
8.071353912353515625e+01,8.804401397705078125e+01
8.229737091064453125e+01,8.532218170166015625e+01
8.385603332519531250e+01,8.258587646484375000e+01
8.531945037841796875e+01,7.979772949218750000e+01
8.665988922119140625e+01,7.694835662841796875e+01
8.789044952392578125e+01,7.404966735839843750e+01
8.904268646240234375e+01,7.111887359619140625e+01
9.017726135253906250e+01,6.818120574951171875e+01
9.142171478271484375e+01,6.528881835937500000e+01
9.292054748535156250e+01,6.252490615844726562e+01
9.493123626708984375e+01,6.013441848754882812e+01
9.765036010742187500e+01,5.866222000122070312e+01
1.007503280639648438e+02,5.864833450317382812e+01
1.035348510742187500e+02,6.007142639160156250e+01
1.055483703613281250e+02,6.248913192749023438e+01
1.069986190795898438e+02,6.528373718261718750e+01
1.081794662475585938e+02,6.820303344726562500e+01
1.092865600585937500e+02,7.115110778808593750e+01
1.104600067138671875e+02,7.407328796386718750e+01
1.117412185668945312e+02,7.694993591308593750e+01
1.131137542724609375e+02,7.978421783447265625e+01
1.145438079833984375e+02,8.258995819091796875e+01
1.160458908081054688e+02,8.535778808593750000e+01
1.176317062377929688e+02,8.807843017578125000e+01
1.192721633911132812e+02,9.076653289794921875e+01
1.209677276611328125e+02,9.342021942138671875e+01
1.226908187866210938e+02,9.605612945556640625e+01
1.244331283569335938e+02,9.867939758300781250e+01
1.261910400390625000e+02,1.012922058105468750e+02
1.279471893310546875e+02,1.039062194824218750e+02
1.297061920166015625e+02,1.065183258056640625e+02
1.314631652832031250e+02,1.091317672729492188e+02
1.331811218261718750e+02,1.117709121704101562e+02
1.348272247314453125e+02,1.144553527832031250e+02
1.363477172851562500e+02,1.172129669189453125e+02
1.377089691162109375e+02,1.200527191162109375e+02
