x,y
1.920000000000000000e+02,1.300335388183593750e+02
1.920000000000000000e+02,1.323982086181640625e+02
1.920000000000000000e+02,1.347628784179687500e+02
1.919999847412109375e+02,1.371275482177734375e+02
1.919998779296875000e+02,1.394922180175781250e+02
1.919996185302734375e+02,1.418568878173828125e+02
1.920000000000000000e+02,1.442215576171875000e+02
1.920044708251953125e+02,1.465862274169921875e+02
1.920175170898437500e+02,1.489508666992187500e+02
1.920151977539062500e+02,1.513155212402343750e+02
1.918676300048828125e+02,1.536752014160156250e+02
1.913891448974609375e+02,1.559860839843750000e+02
1.909574584960937500e+02,1.583093109130859375e+02
1.904583740234375000e+02,1.606181182861328125e+02
1.900563507080078125e+02,1.629417419433593750e+02
1.898182830810546875e+02,1.652944030761718750e+02
1.892394104003906250e+02,1.675870208740234375e+02
1.888660430908203125e+02,1.699211425781250000e+02
1.883217315673828125e+02,1.722213287353515625e+02
1.879112091064453125e+02,1.745481414794921875e+02
1.873958892822265625e+02,1.768536071777343750e+02
1.870320739746093750e+02,1.791841125488281250e+02
1.867617492675781250e+02,1.815311126708984375e+02
1.861861267089843750e+02,1.838245239257812500e+02
1.858335113525390625e+02,1.861627349853515625e+02
1.852352142333984375e+02,1.884504547119140625e+02
1.847326965332031250e+02,1.907588500976562500e+02
1.840073547363281250e+02,1.930092773437500000e+02
1.830795593261718750e+02,1.951843261718750000e+02
1.817727966308593750e+02,1.971486206054687500e+02
1.801735839843750000e+02,1.988867492675781250e+02
1.784693756103515625e+02,2.005258026123046875e+02
1.765475158691406250e+02,2.019021606445312500e+02
1.743865356445312500e+02,2.028564758300781250e+02
1.721386260986328125e+02,2.035815582275390625e+02
1.698184661865234375e+02,2.039655456542968750e+02
1.674563903808593750e+02,2.040254364013671875e+02
1.650917968750000000e+02,2.040069427490234375e+02
1.627271423339843750e+02,2.039997558593750000e+02
1.603624725341796875e+02,2.039995117187500000e+02
1.579978027343750000e+02,2.039998779296875000e+02
1.556331329345703125e+02,2.040000000000000000e+02
1.532684631347656250e+02,2.040000000000000000e+02
1.509037933349609375e+02,2.040000000000000000e+02
1.485391235351562500e+02,2.040000000000000000e+02
1.461744537353515625e+02,2.040000000000000000e+02
1.438097839355468750e+02,2.040000000000000000e+02
1.414451141357421875e+02,2.040000000000000000e+02
1.390804443359375000e+02,2.040000000000000000e+02
1.367157745361328125e+02,2.040000000000000000e+02
1.343511047363281250e+02,2.040000000000000000e+02
1.319864349365234375e+02,2.040000000000000000e+02
1.296217651367187500e+02,2.040000000000000000e+02
1.272570953369140625e+02,2.040000000000000000e+02
1.248924255371093750e+02,2.040000000000000000e+02
1.225277481079101562e+02,2.040000000000000000e+02
1.201630783081054688e+02,2.040000000000000000e+02
1.177984085083007812e+02,2.039998779296875000e+02
1.154337387084960938e+02,2.039995117187500000e+02
1.130690612792968750e+02,2.039996795654296875e+02
1.107044067382812500e+02,2.040062866210937500e+02
1.083398056030273438e+02,2.040244445800781250e+02
1.059785156250000000e+02,2.039522399902343750e+02
1.036871719360351562e+02,2.034474182128906250e+02
1.015056152343750000e+02,2.025452423095703125e+02
9.941453552246093750e+01,2.014438476562500000e+02
9.745616149902343750e+01,2.001296691894531250e+02
9.564599609375000000e+01,1.986141662597656250e+02
9.397658538818359375e+01,1.969394226074218750e+02
9.248274993896484375e+01,1.951067810058593750e+02
9.103624725341796875e+01,1.932364959716796875e+02
8.963422393798828125e+01,1.913325042724609375e+02
8.825411987304687500e+01,1.894123535156250000e+02
8.674696350097656250e+01,1.875933227539062500e+02
8.536062622070312500e+01,1.856776733398437500e+02
8.396111297607421875e+01,1.837716979980468750e+02
8.254302215576171875e+01,1.818794250488281250e+02
8.112051391601562500e+01,1.799904937744140625e+02
7.969972229003906250e+01,1.781002502441406250e+02
7.827969360351562500e+01,1.762094268798828125e+02
7.685995483398437500e+01,1.743183898925781250e+02
7.544472503662109375e+01,1.724239807128906250e+02
7.403897857666015625e+01,1.705225219726562500e+02
7.259172058105468750e+01,1.686531677246093750e+02
7.103135681152343750e+01,1.668780212402343750e+02
6.960304260253906250e+01,1.649935302734375000e+02
6.819510650634765625e+01,1.630937042236328125e+02
6.677824401855468750e+01,1.612005157470703125e+02
6.535616302490234375e+01,1.593112487792968750e+02
6.393158721923828125e+01,1.574238586425781250e+02
6.250995635986328125e+01,1.555342559814453125e+02
6.114237976074218750e+01,1.536051788330078125e+02
5.999517059326171875e+01,1.515382690429687500e+02
5.895606613159179688e+01,1.494142608642578125e+02
5.808189773559570312e+01,1.472171020507812500e+02
5.737082290649414062e+01,1.449628906250000000e+02
5.700176239013671875e+01,1.426382598876953125e+02
5.694906616210937500e+01,1.402760772705078125e+02
5.713991928100585938e+01,1.379201354980468750e+02
5.777475738525390625e+01,1.356448059082031250e+02
5.850294494628906250e+01,1.333954620361328125e+02
5.933452987670898438e+01,1.311831054687500000e+02
6.052116775512695312e+01,1.291469268798828125e+02
6.191273498535156250e+01,1.272368698120117188e+02
6.352554702758789062e+01,1.255136718750000000e+02
6.539054107666015625e+01,1.240662155151367188e+02
6.736397552490234375e+01,1.227648010253906250e+02
6.946749877929687500e+01,1.217100601196289062e+02
7.170260620117187500e+01,1.209391250610351562e+02
7.398934173583984375e+01,1.203370361328125000e+02
7.632359313964843750e+01,1.200133895874023438e+02
7.868556976318359375e+01,1.199678115844726562e+02
8.103838348388671875e+01,1.201838302612304688e+02
8.332377624511718750e+01,1.207819900512695312e+02
8.567366027832031250e+01,1.208454895019531250e+02
8.787370300292968750e+01,1.199786071777343750e+02
8.905857086181640625e+01,1.180874481201171875e+02
