x,y
2.019883728027343750e+02,1.099344863891601562e+02
2.008497467041015625e+02,1.121076507568359375e+02
1.997591247558593750e+02,1.143053207397460938e+02
1.986787567138671875e+02,1.165077438354492188e+02
1.974635162353515625e+02,1.186390457153320312e+02
1.961828613281250000e+02,1.207313385009765625e+02
1.948362274169921875e+02,1.227819290161132812e+02
1.934107360839843750e+02,1.247786712646484375e+02
1.919408569335937500e+02,1.267428054809570312e+02
1.903785552978515625e+02,1.286345062255859375e+02
1.886585693359375000e+02,1.303839263916015625e+02
1.869121246337890625e+02,1.321070251464843750e+02
1.851687164306640625e+02,1.338332519531250000e+02
1.834313812255859375e+02,1.355655517578125000e+02
1.816974182128906250e+02,1.373012695312500000e+02
1.799659271240234375e+02,1.390394287109375000e+02
1.782342376708984375e+02,1.407774047851562500e+02
1.764782104492187500e+02,1.424904632568359375e+02
1.746303100585937500e+02,1.441001586914062500e+02
1.726969604492187500e+02,1.456106109619140625e+02
1.708305206298828125e+02,1.471985168457031250e+02
1.690751342773437500e+02,1.489121856689453125e+02
1.673442382812500000e+02,1.506509399414062500e+02
1.656116333007812500e+02,1.523880157470703125e+02
1.638771209716796875e+02,1.541231536865234375e+02
1.621422119140625000e+02,1.558579101562500000e+02
1.604073333740234375e+02,1.575927124023437500e+02
1.586725006103515625e+02,1.593275299072265625e+02
1.569376068115234375e+02,1.610623016357421875e+02
1.552027435302734375e+02,1.627970886230468750e+02
1.534685363769531250e+02,1.645325622558593750e+02
1.517370758056640625e+02,1.662707672119140625e+02
1.500054321289062500e+02,1.680087738037109375e+02
1.482198944091796875e+02,1.696906127929687500e+02
1.462795257568359375e+02,1.711920166015625000e+02
1.443577728271484375e+02,1.727166748046875000e+02
1.425811767578125000e+02,1.744087066650390625e+02
1.408460540771484375e+02,1.761431579589843750e+02
1.391236724853515625e+02,1.778903350830078125e+02
1.374101257324218750e+02,1.796461791992187500e+02
1.356354522705078125e+02,1.813387908935546875e+02
1.335425872802734375e+02,1.825540924072265625e+02
1.311612091064453125e+02,1.829060821533203125e+02
1.287880249023437500e+02,1.824932861328125000e+02
1.266503448486328125e+02,1.813226470947265625e+02
1.247745285034179688e+02,1.797502899169921875e+02
1.230238571166992188e+02,1.780317687988281250e+02
1.212906494140625000e+02,1.762953033447265625e+02
1.195569305419921875e+02,1.745593566894531250e+02
1.178227310180664062e+02,1.728238983154296875e+02
1.160882873535156250e+02,1.710886688232421875e+02
1.143536148071289062e+02,1.693536834716796875e+02
1.126187744140625000e+02,1.676188659667968750e+02
1.108839035034179688e+02,1.658840637207031250e+02
1.091498565673828125e+02,1.641484527587890625e+02
1.074189071655273438e+02,1.624097595214843750e+02
1.056834487915039062e+02,1.606756591796875000e+02
1.038668060302734375e+02,1.590296783447265625e+02
1.019272537231445312e+02,1.575272521972656250e+02
1.000323715209960938e+02,1.559716949462890625e+02
9.826046752929687500e+01,1.542748565673828125e+02
9.652780151367187500e+01,1.525378570556640625e+02
9.479671478271484375e+01,1.507993011474609375e+02
9.306311798095703125e+01,1.490632171630859375e+02
9.132842254638671875e+01,1.473282470703125000e+02
8.959352111816406250e+01,1.455934600830078125e+02
8.785864257812500000e+01,1.438586730957031250e+02
8.612377166748046875e+01,1.421238861083984375e+02
8.438890838623046875e+01,1.403890686035156250e+02
8.265411376953125000e+01,1.386541900634765625e+02
8.091957855224609375e+01,1.369190673828125000e+02
7.918555450439453125e+01,1.351834106445312500e+02
7.745207977294921875e+01,1.334472351074218750e+02
7.571752929687500000e+01,1.317121124267578125e+02
7.397640991210937500e+01,1.299835968017578125e+02
7.222338104248046875e+01,1.282671661376953125e+02
7.048838806152343750e+01,1.265325012207031250e+02
6.890736389160156250e+01,1.246568908691406250e+02
6.739312744140625000e+01,1.227265090942382812e+02
6.587967681884765625e+01,1.207955093383789062e+02
6.455055999755859375e+01,1.187335739135742188e+02
6.327897262573242188e+01,1.166357803344726562e+02
6.211180114746093750e+01,1.144785079956054688e+02
6.100819396972656250e+01,1.122873764038085938e+02
5.999034881591796875e+01,1.100551605224609375e+02
5.919246673583984375e+01,1.077357940673828125e+02
5.849455642700195312e+01,1.053844070434570312e+02
5.797199630737304688e+01,1.029915466308593750e+02
5.750199127197265625e+01,1.005852050781250000e+02
5.708809661865234375e+01,9.817358398437500000e+01
5.698011016845703125e+01,9.572425842285156250e+01
5.697482299804687500e+01,9.327085113525390625e+01
5.700394058227539062e+01,9.081812286376953125e+01
