x,y
1.930519409179687500e+02,1.396249694824218750e+02
1.939037017822265625e+02,1.422052459716796875e+02
1.946366882324218750e+02,1.448211364746093750e+02
1.950251007080078125e+02,1.475005187988281250e+02
1.948962554931640625e+02,1.502095336914062500e+02
1.942027435302734375e+02,1.528355102539062500e+02
1.933047332763671875e+02,1.553981628417968750e+02
1.919899444580078125e+02,1.577509307861328125e+02
1.902091522216796875e+02,1.597861938476562500e+02
1.880318450927734375e+02,1.613771209716796875e+02
1.855507049560546875e+02,1.624494934082031250e+02
1.829051055908203125e+02,1.629871826171875000e+02
1.801909637451171875e+02,1.630606231689453125e+02
1.775054931640625000e+02,1.627420654296875000e+02
1.749878540039062500e+02,1.617366638183593750e+02
1.726338806152343750e+02,1.603831939697265625e+02
1.703570404052734375e+02,1.589002075195312500e+02
1.681007537841796875e+02,1.573861083984375000e+02
1.658414459228515625e+02,1.558765258789062500e+02
1.633818054199218750e+02,1.547505798339843750e+02
1.607453308105468750e+02,1.540930633544921875e+02
1.580290832519531250e+02,1.540905303955078125e+02
1.554097290039062500e+02,1.547440185546875000e+02
1.530823822021484375e+02,1.560826721191406250e+02
1.513049926757812500e+02,1.581033172607421875e+02
1.502431488037109375e+02,1.605856170654296875e+02
1.499594421386718750e+02,1.632749481201171875e+02
1.499592132568359375e+02,1.659918823242187500e+02
1.499968719482421875e+02,1.687084350585937500e+02
1.502399902343750000e+02,1.714104766845703125e+02
1.508630371093750000e+02,1.740547790527343750e+02
1.513563690185546875e+02,1.767259521484375000e+02
1.519059906005859375e+02,1.793739776611328125e+02
1.514855651855468750e+02,1.819856719970703125e+02
1.494999237060546875e+02,1.837552337646484375e+02
1.468414154052734375e+02,1.843169555664062500e+02
1.441773223876953125e+02,1.848517456054687500e+02
1.414650268554687500e+02,1.850131683349609375e+02
1.387575836181640625e+02,1.852265167236328125e+02
1.361028900146484375e+02,1.858060455322265625e+02
1.333920135498046875e+02,1.859791259765625000e+02
1.306754150390625000e+02,1.860182952880859375e+02
1.279615936279296875e+02,1.861435394287109375e+02
1.252673416137695312e+02,1.864717559814453125e+02
1.225821685791015625e+02,1.864561614990234375e+02
1.198960800170898438e+02,1.860459899902343750e+02
1.173169708251953125e+02,1.852520294189453125e+02
1.150571060180664062e+02,1.837860107421875000e+02
1.133758544921875000e+02,1.816926269531250000e+02
1.126365051269531250e+02,1.791970062255859375e+02
1.103108139038085938e+02,1.781391448974609375e+02
1.076243057250976562e+02,1.777382354736328125e+02
1.049096908569335938e+02,1.776189880371093750e+02
1.021950836181640625e+02,1.774997253417968750e+02
9.948033142089843750e+01,1.774658508300781250e+02
9.676535797119140625e+01,1.775761871337890625e+02
9.525155639648437500e+01,1.796251525878906250e+02
9.408663940429687500e+01,1.820707244873046875e+02
9.229140472412109375e+01,1.840820770263671875e+02
9.003300476074218750e+01,1.855348815917968750e+02
8.750006866455078125e+01,1.864912414550781250e+02
8.484210968017578125e+01,1.869715423583984375e+02
8.212717437744140625e+01,1.870291900634765625e+02
7.940995788574218750e+01,1.870203552246093750e+02
7.669454193115234375e+01,1.869622344970703125e+02
7.400525665283203125e+01,1.866236724853515625e+02
7.133853912353515625e+01,1.861370239257812500e+02
6.862820434570312500e+01,1.859439849853515625e+02
6.593305206298828125e+01,1.856429138183593750e+02
6.326010131835937500e+01,1.851630096435546875e+02
6.058103561401367188e+01,1.847706451416015625e+02
5.813024139404296875e+01,1.836804351806640625e+02
5.703936004638671875e+01,1.812361450195312500e+02
5.693254470825195312e+01,1.785221862792968750e+02
5.697417831420898438e+01,1.758052825927734375e+02
5.699724197387695312e+01,1.730881652832031250e+02
