x,y
1.714848937988281250e+02,1.295426330566406250e+02
1.696405792236328125e+02,1.319455261230468750e+02
1.676980743408203125e+02,1.342670288085937500e+02
1.655711975097656250e+02,1.364231262207031250e+02
1.633335723876953125e+02,1.384627380371093750e+02
1.610163574218750000e+02,1.404102783203125000e+02
1.589474487304687500e+02,1.425885620117187500e+02
1.585956878662109375e+02,1.455620422363281250e+02
1.607102203369140625e+02,1.477166442871093750e+02
1.631290588378906250e+02,1.495397186279296875e+02
1.654417724609375000e+02,1.514899597167968750e+02
1.675312347412109375e+02,1.536792602539062500e+02
1.694501037597656250e+02,1.560231323242187500e+02
1.713345947265625000e+02,1.583947601318359375e+02
1.731717529296875000e+02,1.608022766113281250e+02
1.748331298828125000e+02,1.633352508544921875e+02
1.763733520507812500e+02,1.659436187744140625e+02
1.779478302001953125e+02,1.685310974121093750e+02
1.793614349365234375e+02,1.712091064453125000e+02
1.805875091552734375e+02,1.739791107177734375e+02
1.817388153076171875e+02,1.767807006835937500e+02
1.828362579345703125e+02,1.796040649414062500e+02
1.837921752929687500e+02,1.824777984619140625e+02
1.844548645019531250e+02,1.854315643310546875e+02
1.852221679687500000e+02,1.883617858886718750e+02
1.858812103271484375e+02,1.913155212402343750e+02
1.862572326660156250e+02,1.943206939697265625e+02
1.868277740478515625e+02,1.972957000732421875e+02
1.869431304931640625e+02,2.003224639892578125e+02
1.869263458251953125e+02,2.033514404296875000e+02
1.874328918457031250e+02,2.063337402343750000e+02
1.896612243652343750e+02,2.083814697265625000e+02
1.926019592285156250e+02,2.089472808837890625e+02
1.955860290527343750e+02,2.094679107666015625e+02
1.975625915527343750e+02,2.117029876708984375e+02
1.978486480712890625e+02,2.146549835205078125e+02
1.964260559082031250e+02,2.172595520019531250e+02
1.936119995117187500e+02,2.180924377441406250e+02
1.905829467773437500e+02,2.180606842041015625e+02
1.875541381835937500e+02,2.180120544433593750e+02
1.845249481201171875e+02,2.179988098144531250e+02
1.814957275390625000e+02,2.179985504150390625e+02
1.784665069580078125e+02,2.179996337890625000e+02
1.754372711181640625e+02,2.180000000000000000e+02
1.724080505371093750e+02,2.180000152587890625e+02
1.693788299560546875e+02,2.180000000000000000e+02
1.663496093750000000e+02,2.179999847412109375e+02
1.633203735351562500e+02,2.179999847412109375e+02
1.602911529541015625e+02,2.179999847412109375e+02
1.572619323730468750e+02,2.179999847412109375e+02
1.542327117919921875e+02,2.179999847412109375e+02
1.512034912109375000e+02,2.179999847412109375e+02
1.481742706298828125e+02,2.179999847412109375e+02
1.451450500488281250e+02,2.179999847412109375e+02
1.421158142089843750e+02,2.179999847412109375e+02
1.390865936279296875e+02,2.179999847412109375e+02
1.360573730468750000e+02,2.179999847412109375e+02
1.330281524658203125e+02,2.179999847412109375e+02
1.299989318847656250e+02,2.179999847412109375e+02
1.269696960449218750e+02,2.179999847412109375e+02
1.239404754638671875e+02,2.179999847412109375e+02
1.209112396240234375e+02,2.179999847412109375e+02
1.178820190429687500e+02,2.179999847412109375e+02
1.148527984619140625e+02,2.179999847412109375e+02
1.118235855102539062e+02,2.179999847412109375e+02
1.087943496704101562e+02,2.179999847412109375e+02
1.057651290893554688e+02,2.179999847412109375e+02
1.027359085083007812e+02,2.179999847412109375e+02
9.970668029785156250e+01,2.180000000000000000e+02
9.667745971679687500e+01,2.180000152587890625e+02
9.364824676513671875e+01,2.179999847412109375e+02
9.061902618408203125e+01,2.179996337890625000e+02
8.758980560302734375e+01,2.179985351562500000e+02
8.456058502197265625e+01,2.179987640380859375e+02
8.153139495849609375e+01,2.180119781494140625e+02
7.850257873535156250e+01,2.180603332519531250e+02
7.547354125976562500e+01,2.180924224853515625e+02
7.262619018554687500e+01,2.173199768066406250e+02
7.115058135986328125e+01,2.147336273193359375e+02
7.138690185546875000e+01,2.117642669677734375e+02
7.333410644531250000e+01,2.094815979003906250e+02
7.631791687011718750e+01,2.089593658447265625e+02
7.927811431884765625e+01,2.084346771240234375e+02
8.151157379150390625e+01,2.063882598876953125e+02
8.207464599609375000e+01,2.034288940429687500e+02
8.205169677734375000e+01,2.003998107910156250e+02
8.216694641113281250e+01,1.973727722167968750e+02
8.272689819335937500e+01,1.943977050781250000e+02
8.311478424072265625e+01,1.913944549560546875e+02
8.379243469238281250e+01,1.884447631835937500e+02
8.450859069824218750e+01,1.855055541992187500e+02
8.543937683105468750e+01,1.826230010986328125e+02
8.641333770751953125e+01,1.797546844482421875e+02
8.744216156005859375e+01,1.769061431884765625e+02
8.856735992431640625e+01,1.740936431884765625e+02
8.977187347412109375e+01,1.713145446777343750e+02
9.121115112304687500e+01,1.686544952392578125e+02
9.275148773193359375e+01,1.660461273193359375e+02
9.433971405029296875e+01,1.634669189453125000e+02
9.601100921630859375e+01,1.609409484863281250e+02
9.780396270751953125e+01,1.584999847412109375e+02
9.970183563232421875e+01,1.561399993896484375e+02
1.017035522460937500e+02,1.538687438964843750e+02
1.038482055664062500e+02,1.517294464111328125e+02
1.061237716674804688e+02,1.497324218750000000e+02
1.084087066650390625e+02,1.477438354492187500e+02
1.104499588012695312e+02,1.455149383544921875e+02
1.100320434570312500e+02,1.425604553222656250e+02
1.079551010131835938e+02,1.403886566162109375e+02
1.056145172119140625e+02,1.384691772460937500e+02
1.033908843994140625e+02,1.364135589599609375e+02
1.013256072998046875e+02,1.341998138427734375e+02
9.943095397949218750e+01,1.318362731933593750e+02
9.755683135986328125e+01,1.294564361572265625e+02
9.573139953613281250e+01,1.270405502319335938e+02
9.407421112060546875e+01,1.245051040649414062e+02
9.252981567382812500e+01,1.218992309570312500e+02
9.096401214599609375e+01,1.193067321777343750e+02
8.956239318847656250e+01,1.166228866577148438e+02
8.833416748046875000e+01,1.138538436889648438e+02
8.719464874267578125e+01,1.110473937988281250e+02
8.612833404541015625e+01,1.082122192382812500e+02
