x,y
1.827962341308593750e+02,1.790814208984375000e+02
1.835700988769531250e+02,1.820512542724609375e+02
1.842835388183593750e+02,1.850356140136718750e+02
1.850997619628906250e+02,1.879939880371093750e+02
1.858374176025390625e+02,1.909722900390625000e+02
1.862036437988281250e+02,1.940193634033203125e+02
1.867861785888671875e+02,1.970325012207031250e+02
1.869368438720703125e+02,2.000951843261718750e+02
1.869273681640625000e+02,2.031638183593750000e+02
1.874078063964843750e+02,2.061887054443359375e+02
1.895855255126953125e+02,2.083113708496093750e+02
1.925394439697265625e+02,2.089387207031250000e+02
1.955629425048828125e+02,2.094647521972656250e+02
1.975730133056640625e+02,2.117166137695312500e+02
1.978483581542968750e+02,2.147116241455078125e+02
1.963568725585937500e+02,2.173301849365234375e+02
1.934635772705078125e+02,2.180925445556640625e+02
1.903947601318359375e+02,2.180599670410156250e+02
1.873261718750000000e+02,2.180118255615234375e+02
1.842572021484375000e+02,2.179988250732421875e+02
1.811882019042968750e+02,2.179989624023437500e+02
1.781192016601562500e+02,2.180005187988281250e+02
1.750502014160156250e+02,2.179991149902343750e+02
1.719812316894531250e+02,2.179859008789062500e+02
1.689123687744140625e+02,2.179551849365234375e+02
1.658435974121093750e+02,2.179885559082031250e+02
1.628105468750000000e+02,2.184270629882812500e+02
1.600115356445312500e+02,2.196166992187500000e+02
1.571042327880859375e+02,2.199772186279296875e+02
1.542797698974609375e+02,2.188986053466796875e+02
1.513624877929687500e+02,2.180789031982421875e+02
1.483016815185546875e+02,2.179620056152343750e+02
1.452328338623046875e+02,2.179890136718750000e+02
1.421638488769531250e+02,2.179998779296875000e+02
1.390948486328125000e+02,2.180008087158203125e+02
1.360258483886718750e+02,2.180002441406250000e+02
1.329568481445312500e+02,2.180000305175781250e+02
1.298878479003906250e+02,2.180003509521484375e+02
1.268188400268554688e+02,2.180009460449218750e+02
1.237498397827148438e+02,2.179990844726562500e+02
1.206808776855468750e+02,2.179841461181640625e+02
1.176120834350585938e+02,2.179538421630859375e+02
1.145491790771484375e+02,2.180544891357421875e+02
1.115868453979492188e+02,2.187817993164062500e+02
1.089346389770507812e+02,2.203025665283203125e+02
1.059113006591796875e+02,2.198045196533203125e+02
1.031569747924804688e+02,2.184508209228515625e+02
1.001297607421875000e+02,2.179820556640625000e+02
9.706131744384765625e+01,2.179599609375000000e+02
9.399245452880859375e+01,2.179895172119140625e+02
9.092347717285156250e+01,2.179995269775390625e+02
8.785447692871093750e+01,2.179993438720703125e+02
8.478547668457031250e+01,2.179990386962890625e+02
8.171650695800781250e+01,2.180121765136718750e+02
7.864791870117187500e+01,2.180606536865234375e+02
7.557910156250000000e+01,2.180930480957031250e+02
7.267314910888671875e+01,2.173528289794921875e+02
7.115209197998046875e+01,2.147466278076171875e+02
7.140354156494140625e+01,2.117439270019531250e+02
7.339926147460937500e+01,2.094705505371093750e+02
7.642259979248046875e+01,2.089435577392578125e+02
7.938549041748046875e+01,2.083356170654296875e+02
8.158466339111328125e+01,2.062257385253906250e+02
8.207248687744140625e+01,2.032014617919921875e+02
8.206264495849609375e+01,2.001328125000000000e+02
8.221320343017578125e+01,1.970696258544921875e+02
8.282162475585937500e+01,1.940615386962890625e+02
8.317566680908203125e+01,1.910131225585937500e+02
8.360718536376953125e+01,1.879748077392578125e+02
8.325655364990234375e+01,1.849467163085937500e+02
8.441582489013671875e+01,1.821861114501953125e+02
8.610750579833984375e+01,1.796419982910156250e+02
8.743302154541015625e+01,1.768755493164062500e+02
8.860845184326171875e+01,1.740405731201171875e+02
8.983053588867187500e+01,1.712254943847656250e+02
9.130554199218750000e+01,1.685399932861328125e+02
9.287083435058593750e+01,1.659001922607421875e+02
9.426841735839843750e+01,1.631695404052734375e+02
9.497881317138671875e+01,1.602092437744140625e+02
9.593749237060546875e+01,1.573166656494140625e+02
9.807904052734375000e+01,1.553108215332031250e+02
1.007157745361328125e+02,1.537403564453125000e+02
1.032448043823242188e+02,1.520092926025390625e+02
1.056702804565429688e+02,1.501294403076171875e+02
1.080065155029296875e+02,1.481411590576171875e+02
1.100944061279296875e+02,1.459009552001953125e+02
1.100864410400390625e+02,1.429857025146484375e+02
1.082130813598632812e+02,1.406883850097656250e+02
1.056957855224609375e+02,1.389665374755859375e+02
1.029928665161132812e+02,1.375152435302734375e+02
1.013702774047851562e+02,1.349798278808593750e+02
9.979904174804687500e+01,1.323464202880859375e+02
9.793705749511718750e+01,1.299068145751953125e+02
9.604238128662109375e+01,1.274924850463867188e+02
9.434605407714843750e+01,1.249351654052734375e+02
9.277526855468750000e+01,1.222990875244140625e+02
9.116835784912109375e+01,1.196844100952148438e+02
8.972038269042968750e+01,1.169790649414062500e+02
8.847593688964843750e+01,1.141736984252929688e+02
8.730972290039062500e+01,1.113353424072265625e+02
8.622290802001953125e+01,1.084654541015625000e+02
8.529533386230468750e+01,1.055411376953125000e+02
8.446466064453125000e+01,1.025869522094726562e+02
8.381053924560546875e+01,9.959067535400390625e+01
8.305535888671875000e+01,9.661748504638671875e+01
8.239357757568359375e+01,9.362364196777343750e+01
8.178878784179687500e+01,9.064291381835937500e+01
8.189489746093750000e+01,8.757575988769531250e+01
8.202683258056640625e+01,8.450965118408203125e+01
8.146738433837890625e+01,8.155510711669921875e+01
7.871482849121093750e+01,8.025183868408203125e+01
7.566103363037109375e+01,7.996421051025390625e+01
7.276545715332031250e+01,7.912757873535156250e+01
7.114753723144531250e+01,7.653603363037109375e+01
7.106638336181640625e+01,7.346810150146484375e+01
7.215241241455078125e+01,7.061463165283203125e+01
7.447578430175781250e+01,6.871819305419921875e+01
7.753777313232421875e+01,6.851094055175781250e+01
8.044888305664062500e+01,6.937336730957031250e+01
8.345453643798828125e+01,6.992389678955078125e+01
8.651821899414062500e+01,7.002747344970703125e+01
8.958711242675781250e+01,7.001200103759765625e+01
9.265608978271484375e+01,7.000897979736328125e+01
9.572502136230468750e+01,7.002486419677734375e+01
9.879099273681640625e+01,6.995092773437500000e+01
1.018083114624023438e+02,6.945532226562500000e+01
1.047511291503906250e+02,6.878997802734375000e+01
1.077862319946289062e+02,6.921466827392578125e+01
1.107856140136718750e+02,6.983568572998046875e+01
1.138487777709960938e+02,7.001593780517578125e+01
1.169177703857421875e+02,7.002044677734375000e+01
1.199867401123046875e+02,7.000547790527343750e+01
1.230557327270507812e+02,7.000014495849609375e+01
1.261247406005859375e+02,6.999957275390625000e+01
1.291937561035156250e+02,6.999985504150390625e+01
1.322627563476562500e+02,7.000000000000000000e+01
1.353317413330078125e+02,7.000002288818359375e+01
1.384007263183593750e+02,6.999997711181640625e+01
1.414697113037109375e+02,6.999974060058593750e+01
1.445387115478515625e+02,6.999920654296875000e+01
1.476077117919921875e+02,7.000011444091796875e+01
1.506766815185546875e+02,7.001057434082031250e+01
1.537455444335937500e+02,7.003845214843750000e+01
1.568100891113281250e+02,6.996366882324218750e+01
1.597830810546875000e+02,6.931263732910156250e+01
1.625799407958984375e+02,6.811502838134765625e+01
1.655563812255859375e+02,6.810821533203125000e+01
1.682847137451171875e+02,6.949253845214843750e+01
1.713088226318359375e+02,7.000757598876953125e+01
1.743775939941406250e+02,7.004573822021484375e+01
1.774464263916015625e+02,7.001461029052734375e+01
1.805153961181640625e+02,7.000225067138671875e+01
1.835843811035156250e+02,7.000034332275390625e+01
1.866533660888671875e+02,6.999166107177734375e+01
1.897221679687500000e+02,6.995704650878906250e+01
1.927910003662109375e+02,6.992497253417968750e+01
1.958342132568359375e+02,7.027867126464843750e+01
1.978493652343750000e+02,7.247145843505859375e+01
1.980030670166015625e+02,7.549836730957031250e+01
1.967133789062500000e+02,7.812863922119140625e+01
1.941979217529296875e+02,7.967538452148437500e+01
1.911629791259765625e+02,8.012995147705078125e+01
1.884576873779296875e+02,8.122763061523437500e+01
1.871209411621093750e+02,8.380370330810546875e+01
1.869524688720703125e+02,8.685986328125000000e+01
1.869090118408203125e+02,8.992734527587890625e+01
1.866330108642578125e+02,9.297556304931640625e+01
1.859960784912109375e+02,9.597776031494140625e+01
1.853466033935546875e+02,9.897725677490234375e+01
1.853813323974609375e+02,1.020249481201171875e+02
1.859763946533203125e+02,1.048885879516601562e+02
1.844868469238281250e+02,1.075628051757812500e+02
1.826071472167968750e+02,1.099887771606445312e+02
1.811548767089843750e+02,1.126878738403320312e+02
1.799496765136718750e+02,1.155091476440429688e+02
1.785920410156250000e+02,1.182614593505859375e+02
1.771963806152343750e+02,1.209947662353515625e+02
1.756041564941406250e+02,1.236168136596679688e+02
1.740530700683593750e+02,1.262642059326171875e+02
1.726888275146484375e+02,1.290090637207031250e+02
1.707372741699218750e+02,1.313380432128906250e+02
1.685434722900390625e+02,1.334841156005859375e+02
1.663636932373046875e+02,1.356445007324218750e+02
1.641375885009765625e+02,1.377571258544921875e+02
1.617742767333984375e+02,1.397144012451171875e+02
1.595754852294921875e+02,1.418525238037109375e+02
1.586631927490234375e+02,1.446466827392578125e+02
1.600186309814453125e+02,1.471412048339843750e+02
1.624533538818359375e+02,1.490003814697265625e+02
1.648720245361328125e+02,1.508879852294921875e+02
1.671875915527343750e+02,1.529019317626953125e+02
1.693675689697265625e+02,1.550304260253906250e+02
1.711039886474609375e+02,1.575609130859375000e+02
1.727798004150390625e+02,1.601319580078125000e+02
1.744320983886718750e+02,1.627181701660156250e+02
1.760111694335937500e+02,1.653493652343750000e+02
1.776093139648437500e+02,1.679693756103515625e+02
1.790955047607421875e+02,1.706537322998046875e+02
1.804027099609375000e+02,1.734293518066406250e+02
1.816038055419921875e+02,1.762535400390625000e+02
